#timestamp,latitude,longitude,elevation
2.55980314749e+12,51.602408203,-1.63876724118,143.605255127;
2.55980517761e+12,51.6024082474,-1.63876725799,143.603942871;
2.55980933048e+12,51.6024082918,-1.63876727479,143.603942871;
2.55981142131e+12,51.6024083361,-1.6387672916,143.603942871;
2.55981350279e+12,51.6024083804,-1.63876730842,143.603942871;
2.55981553236e+12,51.6024084247,-1.63876732524,143.603942871;
2.55982010638e+12,51.602408469,-1.63876734207,143.603942871;
2.55982037079e+12,51.6024085133,-1.63876735891,143.603942871;
2.5598239454e+12,51.6024085576,-1.63876737577,143.60395813;
2.55982630135e+12,51.6024086018,-1.63876739262,143.605697632;
2.55982922712e+12,51.602408646,-1.6387674095,143.605697632;
2.5598313721e+12,51.6024086903,-1.63876742637,143.605697632;
2.55983390119e+12,51.6024087345,-1.63876744325,143.605697632;
2.55983594027e+12,51.6024087787,-1.63876746014,143.605697632;
2.55983896596e+12,51.602408823,-1.63876747702,143.605697632;
2.5598410191e+12,51.6024088672,-1.63876749392,143.605697632;
2.55984305635e+12,51.6024089114,-1.63876751084,143.605697632;
2.5598451067e+12,51.6024089556,-1.63876752773,143.606674194;
2.559849439e+12,51.6024089998,-1.63876754465,143.606674194;
2.55985147306e+12,51.6024090441,-1.63876756156,143.606658936;
2.55985356921e+12,51.6024090883,-1.63876757845,143.606658936;
2.55985599103e+12,51.6024091325,-1.63876759538,143.606658936;
2.55985882557e+12,51.6024091767,-1.63876761229,143.606658936;
2.55986087813e+12,51.6024092209,-1.63876762922,143.606658936;
2.5598643111e+12,51.6024092652,-1.63876764616,143.606658936;
2.55986816686e+12,51.6024093093,-1.63876766308,143.607635498;
2.55987019236e+12,51.6024093535,-1.63876768003,143.607635498;
2.55987032948e+12,51.6024093977,-1.63876769697,143.607635498;
2.55987429934e+12,51.6024094419,-1.6387677139,143.607635498;
2.55987635434e+12,51.6024094861,-1.63876773084,143.607635498;
2.5598784387e+12,51.6024095302,-1.63876774777,143.607635498;
2.55988049624e+12,51.6024095744,-1.63876776471,143.607620239;
2.55988475324e+12,51.6024096186,-1.63876778165,143.607620239;
2.55988495217e+12,51.6024096627,-1.63876779858,143.608612061;
2.55988893428e+12,51.6024097068,-1.63876781552,143.608612061;
2.55989094708e+12,51.6024097509,-1.63876783247,143.608612061;
2.55989436861e+12,51.602409795,-1.63876784941,143.608612061;
2.55989629677e+12,51.6024098391,-1.63876786637,143.608612061;
2.55989838714e+12,51.6024098832,-1.63876788332,143.608612061;
2.55990043765e+12,51.6024099273,-1.63876790028,143.608612061;
2.55990467122e+12,51.6024099713,-1.63876791722,143.608612061;
2.55990485487e+12,51.6024099148,-1.63876829308,143.594329834;
2.55990896909e+12,51.6024099587,-1.63876831042,143.594314575;
2.55991092464e+12,51.6024100025,-1.63876832777,143.594314575;
2.55991421446e+12,51.6024100464,-1.63876834514,143.594299316;
2.5599162609e+12,51.6024100902,-1.63876836256,143.594177246;
2.55991831642e+12,51.6024101341,-1.63876837998,143.594161987;
2.55992037076e+12,51.6024101779,-1.63876839743,143.594146729;
2.5599246149e+12,51.6024102218,-1.6387684149,143.594146729;
2.55992485938e+12,51.6024102657,-1.63876843236,143.594009399;
2.55993107286e+12,51.6024103095,-1.63876844987,143.594009399;
2.55993406152e+12,51.6024103534,-1.63876846739,143.593994141;
2.55993422872e+12,51.6024103973,-1.63876848494,143.593978882;
2.55993618182e+12,51.6024104411,-1.63876850254,143.593978882;
2.55993820684e+12,51.602410485,-1.63876852013,143.593963623;
2.55994027235e+12,51.6024105288,-1.63876853774,143.593963623;
2.55994441446e+12,51.6024105727,-1.63876855534,143.593948364;
2.5599465009e+12,51.6024106165,-1.63876857292,143.594924927;
2.55994860192e+12,51.6024106603,-1.63876859053,143.594909668;
2.55995065573e+12,51.6024107041,-1.63876860816,143.594909668;
2.55995373108e+12,51.6024107479,-1.63876862581,143.594909668;
2.55995575354e+12,51.6024107916,-1.63876864352,143.594894409;
2.55995890144e+12,51.6024108353,-1.63876866122,143.594894409;
2.55996098912e+12,51.6024108791,-1.63876867895,143.594894409;
2.5599630423e+12,51.6024109228,-1.63876869668,143.59487915;
